Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Gross Margin,57.56%,55.60%,53.65%,47.80%,42.20%,21.70%,44.45%,39.86%,56.59%,43.71%,34.72%
Operating Margin,14.06%,12.40%,9.73%,3.62%,-9.27%,-42.33%,-24.68%,-31.47%,-31.69%,-25.51%,-19.07%
Profit Margin,7.57%,9.72%,27.71%,-1.91%,-14.94%,-34.04%,-87.54%,-34.52%,-32.34%,-24.61%,-26.34%
Free Cash Flow Margin,16.16%,18.48%,15.31%,4.17%,1.02%,39.09%,-22.73%,-16.95%,-19.21%,-26.19%,-21.34%
EBITDA,159.41,137.8,92.75,48.71,1.17,-36.18,-92.55,-126.13,-184.12,-99.67,-55.32
EBITDA Margin,15.77%,14.09%,11.85%,8.21%,0.39%,-22.14%,-18.09%,-25.95%,-27.27%,-22.27%,-16.46%
D&A For EBITDA,17.29,16.52,16.63,27.25,29.36,33.01,33.68,26.82,29.84,14.54,8.76
EBIT,142.12,121.29,76.12,21.46,-28.19,-69.19,-126.23,-152.95,-213.96,-114.2,-64.08
EBIT Margin,14.06%,12.40%,9.73%,3.62%,-9.27%,-42.33%,-24.68%,-31.47%,-31.69%,-25.51%,-19.07%
Effective Tax Rate,20.26%,17.79%,-,-,-,-,-,-,-,-,-
Revenue as Reported,"1,011",978.34,782.52,593.04,303.92,163.44,511.53,486.01,675.26,447.62,336.05
