Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Total Common Equity,"2,671","2,413","2,480","2,211","1,893","1,609","1,496","1,478",927.42,814.79,739.11
Minority Interest,0.64,0.36,0.31,0.18,0.13,0.13,0.13,0.13,0.14,0.14,0.14
Shareholders' Equity,"2,672","2,414","2,480","2,211","1,894","1,609","1,496","1,478",927.56,814.93,739.25
Total Liabilities & Equity,"4,174","3,892","3,995","3,904","3,152","2,748","2,560","2,614","1,740","1,491","1,065"
Total Debt,890.26,930.57,933.52,"1,060",668.22,706.8,703.58,694.73,495.61,454.14,170.75
Net Cash (Debt),-73.64,-202.19,-374.06,-493.39,-189.72,-19.22,-172.4,-204.96,-65.9,-175.33,162.21
Net Cash Growth,-,-,-,-,-,-,-,-,-,-,52.01%
Net Cash Per Share,-2.95,-8.08,-14.90,-19.75,-7.61,-0.78,-6.95,-8.12,-2.87,-7.71,7.14
Filing Date Shares Outstanding,24.9,24.71,24.92,24.77,24.69,24.54,24.43,24.71,24.83,22.63,22.34
Total Common Shares Outstanding,24.9,24.82,24.91,24.76,24.69,24.49,24.38,24.77,22.71,22.63,22.42
Working Capital,"1,255","1,118","1,033",939.5,835.58,941.66,778.83,737.24,567.55,424.54,372.88
Book Value Per Share,107.29,97.23,99.55,89.30,76.70,65.69,61.35,59.67,40.83,36.01,32.97
Tangible Book Value,856.66,702.64,564.04,430.3,556.47,499.94,354.05,290.02,270.16,198.22,457.72
Tangible Book Value Per Share,34.41,28.31,22.64,17.38,22.54,20.42,14.52,11.71,11.89,8.76,20.41
Land,18.84,17.59,22.21,22.09,23.47,22.85,24.76,25.63,9.55,9.27,5.24
Buildings,206.21,192.44,202.76,191.73,151.3,123.5,108.5,114.64,86.6,80.55,71.38
Machinery,972.98,892.94,859.06,812.54,779.56,678.22,631.27,583.04,505.84,439.54,382.43
Order Backlog,-,664.9,"1,047",-,-,-,-,-,-,-,-
