Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Total Assets,948.6,941.77,787.22,762.67,"1,298","1,362","1,495","1,261",671.02,601.59,503.06
Accounts Payable,8.58,5.23,2.43,5.31,8.4,3.78,2.42,4.18,2.26,2.73,4.08
Accrued Expenses,15.09,25.53,10.09,13.3,12.4,15.61,5.55,9.9,7.38,6.4,5.41
Current Portion of Long-Term Debt,-,-,-,76.7,-,-,-,26.43,224.53,212.91,201.99
Current Portion of Leases,1.11,1.29,0.41,0.72,1.41,8.48,1.26,-,-,-,-
Current Income Taxes Payable,0.31,1.2,-,-,-,-,-,-,-,-,-
Current Unearned Revenue,0.11,1.28,1.22,0.36,0.65,29.44,2.14,3.29,-,-,-
Other Current Liabilities,39.53,2.58,2.63,2.43,18.8,42.8,5.63,38.44,4.7,5.09,11.35
Total Current Liabilities,64.73,37.11,16.78,98.81,41.67,100.11,17,82.25,238.87,227.13,222.82
Long-Term Debt,-,-,-,-,320.72,442.29,638.96,609.86,-,-,-
Long-Term Leases,4.63,5.86,5.77,10.34,2.31,5.76,10.04,-,-,-,-
Long-Term Unearned Revenue,-,18.18,15.14,0.04,-,-,-,-,-,-,-
Long-Term Deferred Tax Liabilities,32.25,32.52,31.62,30.62,30.86,64.6,32.94,-,-,-,-
Other Long-Term Liabilities,18.47,17.65,16.98,25.37,80.88,40,28.74,7.78,13.51,3.6,3.33
Total Liabilities,120.08,111.34,86.3,165.18,476.43,652.76,727.68,699.89,252.37,230.73,226.15
Common Stock,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Additional Paid-In Capital,358.64,337.38,198.7,147.59,372.97,318.36,367.33,791.11,798.21,769.65,661.85
Retained Earnings,461.38,498.98,503.02,450.86,449.09,391.95,400.11,-229.2,-400.92,-431.13,-429.49
Comprehensive Income & Other,8.49,-5.94,-0.82,-0.98,-0.92,-0.8,-0.22,-1.02,21.35,32.31,44.53
Total Common Equity,828.53,830.44,700.91,597.49,821.16,709.53,767.23,560.91,418.65,370.85,276.91
Shareholders' Equity,828.53,830.44,700.91,597.49,821.16,709.53,767.23,560.91,418.65,370.85,276.91
Total Liabilities & Equity,948.6,941.77,787.22,762.67,"1,298","1,362","1,495","1,261",671.02,601.59,503.06
Total Debt,5.74,7.15,6.18,87.75,324.44,456.53,650.26,636.3,224.53,212.91,201.99
Net Cash (Debt),239.28,249.01,164.13,124.12,16.66,-45.34,419.61,137.53,-22.87,-71.86,-1.77
Net Cash Growth,9.09%,51.72%,32.23%,644.83%,-,-,205.10%,-,-,-,-
Net Cash Per Share,12.61,13.61,9.24,7.36,0.97,-2.69,21.24,5.71,-0.97,-3.45,-0.08
Filing Date Shares Outstanding,19.6,19.26,17.71,17.08,16.85,16.61,16.51,20.45,21.2,20.92,20.77
Total Common Shares Outstanding,19.41,19.11,17.56,16.95,16.77,16.08,16.82,20.77,21.15,20.91,19.95
Working Capital,288.21,294.45,220.65,164.79,423.09,400.45,"1,107",788.29,-1.85,-64.08,-8.11
Book Value Per Share,42.68,43.46,39.92,35.25,48.97,44.13,45.61,27.01,19.80,17.74,13.88
Tangible Book Value,476.86,458.54,297.94,139.18,328.69,-86.45,441.47,223.02,84.58,68.12,207.77
Tangible Book Value Per Share,24.57,24.00,16.97,8.21,19.60,-5.38,26.24,10.74,4.00,3.26,10.42
Machinery,-,8.72,7.78,15.16,14.34,15.72,7.31,5.12,4.16,1.64,2.88
Construction In Progress,-,4.22,4.12,-,-,-,-,-,-,-,-
Leasehold Improvements,-,10.46,10.36,7.45,5.27,3.52,2.73,2.42,1.92,1.75,0.27
