Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Total Common Equity,"122,133","112,602","105,217","106,852","118,439","62,077","74,525","72,707","71,265","53,715","34,888"
Minority Interest,"18,613","18,510","16,480","11,548","7,934","2,668","4,323","3,628","3,414","3,126","1,665"
Shareholders' Equity,"140,746","131,112","121,697","118,400","126,373","64,745","78,848","76,335","74,679","56,842","36,553"
Total Liabilities & Equity,"1,014,713","959,799","873,935","746,494","641,343","492,054","479,556","398,022","345,768","201,265","107,123"
Total Debt,"766,408","737,682","658,618","539,788","447,714","378,345","357,330","289,984","238,450","120,766","58,062"
Net Cash (Debt),"-670,988","-684,452","-606,717","-476,893","-368,594","-331,160","-313,038","-264,484","-204,914","-89,114","-44,523"
Net Cash Per Share,-1822.16,-1869.44,-1655.97,-1246.68,-997.14,-825.58,-822.42,-685.54,-592.11,-296.56,-186.43
Filing Date Shares Outstanding,363.32,362.77,362.63,373.04,400.83,379.92,379.92,379.92,377.16,338.36,263.74
Total Common Shares Outstanding,363.32,362.77,362.63,373.04,400.83,379.92,379.92,379.92,377.16,338.36,263.74
Working Capital,"-45,043","-78,054","-37,607","-6,059","33,933","31,528","32,188","-6,892","-4,056",776.64,684.57
Book Value Per Share,336.15,310.40,290.15,286.44,295.48,163.39,196.16,191.37,188.95,158.75,132.28
Tangible Book Value,"86,684","76,385","67,334","68,257","78,715","25,667","38,555","35,643","33,680","52,248","34,824"
Tangible Book Value Per Share,238.59,210.56,185.68,182.98,196.38,67.56,101.48,93.82,89.30,154.41,132.04
Land,-,"14,309","14,225","13,881","13,230","10,531","9,890","8,705","8,070","4,815","1,689"
Buildings,-,"4,869","1,401",130,115,77,65,64,64,63.84,1.82
Machinery,-,"685,488","584,914","477,144","454,757","362,107","343,889","281,549","243,156","128,520","62,201"
Construction In Progress,-,"142,040","159,165","113,723","21,979","10,405","17,899","16,273","7,444","19,095","13,371"
