Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Current Portion of Leases,4.1,2.93,3.93,3.71,4.92,2.79,3.22,-,-,-,-
Current Income Taxes Payable,-,1.55,2.58,1.11,15.55,1.12,1.83,0.56,0.98,0.27,0.44
Current Unearned Revenue,48.89,61.74,60.28,14.17,12.59,1.97,2.55,4.36,3.09,2.72,2.43
Other Current Liabilities,31.38,29.96,35.7,39.17,28.36,10.16,7.64,6.06,4.86,2.72,3.52
Total Current Liabilities,342.35,376.56,403.03,353.9,311.66,158.4,113.1,85.48,104.6,95.12,81.06
Long-Term Debt,67.84,59.43,48.19,18.1,-,27.44,27.4,27.32,0.58,34.96,36.35
Long-Term Leases,3.19,4.09,2.86,5.2,7.16,6.06,3.05,-,-,-,-
Long-Term Unearned Revenue,30.79,48.43,69.48,0.19,0.88,0.48,0.13,0.41,2.8,4.3,5.63
Long-Term Deferred Tax Liabilities,-,2.99,1.48,2.71,2.77,5.06,3.16,4.84,4.45,4,3.42
Other Long-Term Liabilities,89.85,10.84,11.35,12.47,10.69,7.72,5.38,1.82,0.54,-,0.87
Total Liabilities,534.02,502.34,536.39,392.58,333.15,205.17,152.22,119.86,112.97,138.38,127.32
Common Stock,87.21,87.16,87.13,86.48,86.45,72.77,66.69,66.66,66.45,60.71,56.53
Additional Paid-In Capital,"1,528","1,518","1,522","1,497","1,505",822.46,514.9,505.59,496.96,208.2,113.85
Retained Earnings,-380.32,-833.17,-870.87,-971.48,-610.33,-415.59,-289.73,-183,-107.1,-80.36,-92.04
Comprehensive Income & Other,-5.49,-11.59,-8.16,-1.9,5.57,4.48,-3.85,-0.24,5.43,-4.28,5.02
Total Common Equity,"1,229",759.93,730.54,610.37,986.89,484.12,288.01,389,461.73,184.27,83.36
Minority Interest,12.86,11.92,12.85,26.5,52.62,34.83,24.89,23.26,23.23,19.79,18.92
Shareholders' Equity,"1,242",771.85,743.39,636.87,"1,040",518.95,312.9,412.26,484.97,204.06,102.28
Total Liabilities & Equity,"1,776","1,274","1,280","1,029","1,373",724.12,465.12,532.12,597.93,342.44,229.6
Total Debt,100.73,89.82,86.13,27.01,38.98,36.29,34.03,27.75,32.57,57.15,63.75
Net Cash (Debt),"1,265",748.94,802.88,606.33,975.48,402.75,185.67,275.01,325.73,47.73,-31.01
Net Cash Growth,76.93%,-6.72%,32.42%,-37.84%,142.21%,116.91%,-32.48%,-15.57%,582.51%,-,-
Net Cash Per Share,1.45,0.86,0.92,0.72,1.23,0.58,0.28,0.41,0.53,0.08,-0.06
Filing Date Shares Outstanding,859.3,854.88,853.64,845.17,856.39,724.21,665.97,665.46,663.91,606.43,564.92
Total Common Shares Outstanding,859.3,854.88,853.64,845.17,856.39,724.21,665.97,665.46,663.91,606.43,564.92
Working Capital,"1,250",689.99,693.81,485.99,900.42,372.34,203.92,285.06,327.6,72.26,8.45
Book Value Per Share,1.43,0.89,0.86,0.72,1.15,0.67,0.43,0.58,0.70,0.30,0.15
Tangible Book Value,"1,229",759.93,730.54,610.37,986.89,480.58,284.63,385.46,458,180.66,79.45
Tangible Book Value Per Share,1.43,0.89,0.86,0.72,1.15,0.66,0.43,0.58,0.69,0.30,0.14
Buildings,-,58.34,56.72,2.23,2.43,2.37,2.21,2.27,2.37,2.23,2.39
Machinery,-,68.05,63.3,39.19,33.94,28.68,24.05,19.86,17.72,14.06,12.89
Construction In Progress,-,7.27,8.42,54.55,19.97,3.05,0.93,0.63,2.56,1.76,0.57
Leasehold Improvements,-,18.16,17.85,16.84,17.83,16.35,17.02,13.68,9.06,6.3,5.99
