Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Current Portion of Long-Term Debt,-,-,-,-,12.98,13.28,12.5,12.5,-,-,3.76
Current Portion of Leases,13.77,14.1,12.92,11.2,11.93,11.6,9.54,-,-,-,-
Current Income Taxes Payable,2.85,10.77,3.71,12.02,13.24,5.34,2.38,5.76,8.88,2.48,1.78
Current Unearned Revenue,30.45,32.57,27.93,23.07,23.41,19,13.05,9.08,8.11,5.97,4.72
Other Current Liabilities,4.55,2.75,2.15,4.91,0.77,7.12,5.94,3.4,-,65.1,-
Total Current Liabilities,144.55,175.85,159.38,128.51,176.02,152.28,106.67,101.99,79.51,135.52,54.15
Long-Term Debt,300,346,319,350,243.41,336.43,361.57,505.12,339,343.77,91.5
Long-Term Leases,80.7,83.96,87.62,93.77,58.13,67.63,67.25,-,-,-,-
Long-Term Unearned Revenue,2.26,2.73,2.27,1.53,2.09,1.01,1.15,1.32,1.19,-,-
Long-Term Deferred Tax Liabilities,11.27,6.17,55.86,88.98,98.99,93.13,101.09,89.75,86.29,120.6,62.84
Other Long-Term Liabilities,21.56,24.35,10.89,9.39,15.15,41.26,8.67,20.65,8.15,8.7,41.82
Total Liabilities,560.33,639.06,635.02,672.18,593.79,691.72,646.4,718.82,514.14,608.59,250.3
Common Stock,1.56,1.55,1.58,1.58,1.57,0.39,0.39,0.38,0.38,0.37,0.37
Additional Paid-In Capital,946.12,911.09,820.34,721.54,652.47,534.41,420.54,316.8,246.57,199.16,178.76
Retained Earnings,"1,083","1,066","1,325","1,309","1,123","1,085","1,057",931.93,876.93,799.03,770.55
Comprehensive Income & Other,-64.4,-59.88,-78.32,-66.06,-75.2,-57.29,-97.2,-83.52,-44.81,-48.94,-70.41
Total Common Equity,"1,966","1,919","2,069","1,967","1,702","1,563","1,381","1,166","1,079",949.63,879.28
Minority Interest,-,-,-,-,-0.76,8.26,-,-,-,-,-
Shareholders' Equity,"1,966","1,919","2,069","1,967","1,701","1,571","1,381","1,166","1,079",949.63,879.28
Total Liabilities & Equity,"2,526","2,558","2,704","2,639","2,295","2,263","2,028","1,884","1,593","1,558","1,130"
Total Debt,394.47,444.06,419.54,454.97,326.45,428.93,450.86,517.62,339,343.77,95.26
Net Cash (Debt),-249.51,-281.87,-266.68,-250.66,-79.42,-197.38,-179.96,-351.59,-157.25,-186.06,0.58
Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-98.30%
Net Cash Per Share,-1.57,-1.76,-1.66,-1.55,-0.48,-1.22,-1.14,-2.26,-1.03,-1.24,0.00
Filing Date Shares Outstanding,155.81,155.55,158.6,158.17,156.85,156.32,154.2,152.25,150.93,149.53,149.19
Total Common Shares Outstanding,155.75,154.97,158.22,157.64,156.64,155.82,153.81,151.74,150.43,149.42,149.02
Working Capital,464.96,432.45,458.04,492.97,429.54,358.32,414.25,310.62,318.86,212.5,199.74
Book Value Per Share,12.62,12.38,13.08,12.47,10.86,10.03,8.98,7.68,7.17,6.36,5.90
Tangible Book Value,636.8,572.27,589.11,559.13,348.15,103.94,136.34,-146.51,34.84,-81.44,137.87
Tangible Book Value Per Share,4.09,3.69,3.72,3.55,2.22,0.67,0.89,-0.97,0.23,-0.55,0.93
Land,8.13,8.15,8.15,9.1,8.57,8.61,8.52,7.07,7.07,6.27,6.27
Buildings,256.74,254.36,243.86,245.3,229.55,190.66,184.43,175.02,170.11,158.5,157.96
Machinery,244.19,245.92,215.95,190.02,174.81,149.41,153.7,124.23,107.63,98.6,82.02
Construction In Progress,20.26,23.42,39.75,15.49,21.73,49.07,-,-,-,-,-
