Period Ending,"Aug '25Aug 31, 2025","Aug '24Aug 31, 2024","Aug '23Aug 31, 2023","Aug '22Aug 31, 2022","Aug '21Aug 31, 2021","Aug '20Aug 31, 2020","Aug '19Aug 31, 2019","Aug '18Aug 31, 2018","Aug '17Aug 31, 2017","Aug '16Aug 31, 2016"
Other Long-Term Assets,92.88,69.65,70.53,71.69,64.64,57.49,48.52,47.54,44.95,49.25
Total Assets,"2,269","2,023","2,006","1,808","1,706","1,657","1,296","1,216","1,178","1,097"
Accounts Payable,506.95,485.96,453.23,408.41,388.79,373.17,286.22,255.74,272.25,267.17
Accrued Expenses,87.55,79.4,79.79,71.52,70.61,56.16,48.34,46.72,39.13,38.84
Short-Term Debt,12.29,8.01,8.68,10.61,-,65.14,7.54,-,-,16.53
Current Portion of Long-Term Debt,38.68,37.1,20.19,33.72,19.4,19.44,25.88,14.86,18.36,14.57
Current Portion of Leases,7.93,7.37,7.62,7.49,8.53,8.59,-,-,-,-
Current Income Taxes Payable,7.27,6.52,9.43,7.24,8.31,7.73,4.64,4.64,5.04,4.23
Current Unearned Revenue,62.07,51.7,43.43,38.47,33.82,28.24,25.34,23.02,22.1,20.92
Other Current Liabilities,3.55,4.1,12.11,2,4.1,9.8,9.5,4.4,6.5,5.64
Total Current Liabilities,726.27,680.15,634.48,579.46,533.55,568.28,407.45,349.37,363.38,367.9
Long-Term Debt,154.12,96.54,122.81,103.56,113.12,117.3,66.62,88.22,88.62,75.06
Long-Term Leases,122.24,103.89,122.2,118.5,129.26,124.18,-,-,-,-
Pension & Post-Retirement Benefits,13.63,12.74,12.1,8.44,7.38,6.16,5.42,4.72,5.05,4.01
Long-Term Deferred Tax Liabilities,1.1,1.64,1.94,2.17,1.57,1.71,2.02,1.89,1.81,1.76
Other Long-Term Liabilities,4.42,4.76,5.05,5.22,4.7,6.47,16.62,13.56,9.88,9.93
Total Liabilities,"1,022",899.73,898.57,817.33,789.58,824.09,498.13,457.75,468.75,458.66
Common Stock,0,0,0,0,0,0,0,0,0,0
Additional Paid-In Capital,529.35,514.54,497.43,481.41,465.02,454.46,443.08,432.88,422.4,412.37
Retained Earnings,999.43,890.27,817.56,736.89,658.92,582.49,525.8,473.95,420.87,351.06
Treasury Stock,-119.97,-117.26,-43.96,-31.64,-26.08,-28.41,-38.69,-39.11,-35.92,-32.73
Comprehensive Income & Other,-161.44,-164.59,-163.99,-195.59,-182.51,-176.82,-132.85,-109.73,-98.57,-92.63
Total Common Equity,"1,247","1,123","1,107",991.07,915.35,831.72,797.35,758,708.77,638.07
Minority Interest,-,-,-,-,0.87,1.01,0.93,0.64,-,-
Shareholders' Equity,"1,247","1,123","1,107",991.07,916.21,832.73,798.28,758.64,708.77,638.07
Total Liabilities & Equity,"2,269","2,023","2,006","1,808","1,706","1,657","1,296","1,216","1,178","1,097"
Total Debt,335.25,252.91,281.5,273.87,270.3,334.65,100.04,103.08,106.98,106.16
Net Cash (Debt),-21.04,-23.35,49.57,-22.24,-18,11.34,22.4,22.69,55.46,93.37
Net Cash Growth,-,-,-,-,-,-49.37%,-1.27%,-59.09%,-40.61%,60.33%
Net Cash Per Share,-0.70,-0.78,1.61,-0.73,-0.59,0.37,0.74,0.75,1.85,3.12
Filing Date Shares Outstanding,30.13,29.92,29.82,30.53,30.47,30.25,30.17,30.07,30,29.89
Total Common Shares Outstanding,29.98,29.87,30.63,30.53,30.38,30.25,30.17,30.07,30,29.89
Working Capital,248.19,152.2,242.63,194.12,163.65,130.73,84.44,138.49,146.99,144.65
Book Value Per Share,41.60,37.60,36.14,32.46,30.13,27.49,26.42,25.20,23.63,21.35
Tangible Book Value,"1,204","1,080","1,064",947.77,862.49,776.35,738.67,696.69,673.13,602.43
Tangible Book Value Per Share,40.16,36.15,34.73,31.04,28.39,25.66,24.48,23.17,22.44,20.15
Land,287.98,278.12,238.37,224.28,216.7,215.43,207.17,172.05,161.58,131.9
Buildings,846.51,737.27,650.06,592.75,533.8,498.96,464.03,424.74,382.24,305.42
Machinery,464.89,421.27,385.1,343.86,315.39,287.07,258.54,228.89,198.15,186.41
Construction In Progress,45.54,85.27,99.55,42.6,68.84,44.36,49.56,38.5,40.22,46.86
