Period Ending,"Sep '25Sep 27, 2025","Jun '25Jun 28, 2025","Jun '24Jun 29, 2024","Jul '23Jul 1, 2023","Jul '22Jul 2, 2022","Jul '21Jul 3, 2021","Jun '20Jun 27, 2020","Jun '19Jun 29, 2019","Jun '18Jun 30, 2018","Jul '17Jul 1, 2017","Jul '16Jul 2, 2016"
Long-Term Deferred Tax Assets,77.4,87.2,82.5,87,86.3,109.3,105.4,108.4,114.3,109.5,108.8
Long-Term Deferred Charges,4.4,4.4,4.4,5.7,5.9,-,-,-,-,-,-
Other Long-Term Assets,21.8,20.7,17.8,15.6,14.7,53.9,50.8,12.8,10.7,9.3,8.1
Total Assets,"2,082","1,994","1,736","1,851","1,828","1,961","1,776","1,815","2,027","2,111","1,678"
Accounts Payable,66.6,68.8,50.4,47.2,58.3,63.2,53,63.4,55.5,32.6,47
Accrued Expenses,92.3,103.4,82.6,81.5,121.4,107.6,77.2,96.7,84.6,78.8,74.5
Short-Term Debt,-,-,-,-,0.4,-,2.8,-,-,-,-
Current Portion of Long-Term Debt,151.1,246.2,-,96.2,68,456.6,-,1.1,275.3,-,-
Current Portion of Leases,10.1,10.4,9.9,10.3,10.2,11.7,11.8,-,1.1,-,-
Current Income Taxes Payable,7.6,8.2,5.3,4.4,9.6,22.6,10.7,8.5,5.9,3.3,3.3
Current Unearned Revenue,64.2,74.1,65.7,78.6,81,69.7,54.6,55.3,60.6,60.2,78.6
Other Current Liabilities,105.6,78.6,33.2,25.3,20.4,16,22.7,59,70.2,53.9,23
Total Current Liabilities,497.5,589.7,247.1,343.5,369.3,747.4,232.8,284,553.2,228.8,226.4
Long-Term Debt,640.5,396.3,636,629.5,616.5,224.1,600.9,604.3,557.9,931.4,583.3
Long-Term Leases,44.9,39.6,41.4,45.2,49.5,46.9,44.3,-,26.8,27.8,28.7
Long-Term Unearned Revenue,26.9,28.2,25.7,23.4,19.4,19.8,20,13.2,11.3,14,22.7
Pension & Post-Retirement Benefits,53.7,54.1,51.2,53.2,59.6,97,102.7,103.2,100,99.4,103
Long-Term Deferred Tax Liabilities,7.1,6,11.7,13.9,9.5,24.3,23.9,14.6,20.5,1.8,-
Other Long-Term Liabilities,87.6,99.7,41.6,51,32.4,38,40.3,70,22.2,20.9,24.7
Total Liabilities,"1,358","1,214","1,055","1,160","1,156","1,198","1,065","1,089","1,292","1,324",988.8
Common Stock,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Additional Paid-In Capital,"70,518","70,518","70,472","70,427","70,370","70,183","70,274","70,245","70,216","70,184","70,060"
Retained Earnings,"-69,680","-69,628","-69,647","-69,601","-69,542","-69,322","-69,397","-69,385","-69,379","-69,306","-69,381"
Comprehensive Income & Other,-114.3,-109.8,-144,-136,-156.4,-97.2,-165.9,-134.6,-102.9,-92.4,10
Shareholders' Equity,723.9,780.2,681.6,690.8,671.7,763.9,711.4,725.8,734.9,786.4,689.3
Total Liabilities & Equity,"2,082","1,994","1,736","1,851","1,828","1,961","1,776","1,815","2,027","2,111","1,678"
Total Debt,846.6,692.5,687.3,781.2,744.6,739.3,659.8,605.4,861.1,959.2,612
Net Cash (Debt),-301,-267.2,-196.1,-260.1,-183.3,-39.9,-119.3,-82.4,-80.4,477.4,355.6
Net Cash Growth,-,-,-,-,-,-,-,-,-,34.25%,70.39%
Net Cash Per Share,-1.33,-1.18,-0.88,-1.15,-0.77,-0.17,-0.51,-0.36,-0.35,2.04,1.52
Filing Date Shares Outstanding,223.2,223.25,221.91,221.5,226.26,228.47,228.32,228.85,226.71,227.55,232.3
Total Common Shares Outstanding,223.2,223.2,221.9,221.5,226,228.3,228,228.8,226.7,227.6,232.5
Working Capital,492.8,295.5,629.4,601.5,635.8,364.7,680.8,632.8,602,"1,438",985.3
Book Value Per Share,3.24,3.50,3.07,3.12,2.97,3.35,3.12,3.17,3.24,3.46,2.96
Tangible Book Value,8.4,52.9,190.5,177,229.9,279.4,181.9,133.1,163.5,603.7,477.3
Tangible Book Value Per Share,0.04,0.24,0.86,0.80,1.02,1.22,0.80,0.58,0.72,2.65,2.05
Land,-,19.9,19.5,19.6,19.2,19.9,16.8,20.8,20.6,14.5,14.6
Buildings,-,79.6,74.9,74.9,41.7,34.8,22.9,36.9,37.2,31.4,32.4
Machinery,-,468.3,449.3,439.3,390.7,399.6,372.8,383.5,363.6,337,339.2
Construction In Progress,-,26.5,20,24.5,71.2,30.1,15.6,31.1,21.8,17.8,10.3
Leasehold Improvements,-,75.9,73,70.7,69.8,69.5,66.8,56.8,55.9,58.1,54.3
