Period Ending,"Jul '25Jul 27, 2025","Jan '25Jan 26, 2025","Jan '24Jan 28, 2024","Jan '23Jan 29, 2023","Jan '22Jan 30, 2022","Jan '21Jan 31, 2021","Jan '20Jan 26, 2020","Jan '19Jan 27, 2019","Jan '18Jan 28, 2018","Jan '17Jan 29, 2017","Jan '16Jan 31, 2016"
Additional Paid-In Capital,"1,466","1,470",485.45,471.37,491.96,473.73,458.58,451.88,415.06,390.94,379.51
Retained Earnings,-403.41,-395.69,-233.79,858.24,796.86,671.2,611.61,579.74,502.35,467.94,413.28
Treasury Stock,-501.13,-520.51,-556.89,-577.91,-549.94,-438.8,-387.85,-346.22,-251.97,-253.11,-266.18
Comprehensive Income & Other,-9.17,-12.08,-2.99,3.36,-2.08,-8.17,-6.17,-3.61,-1.2,-1.29,0.65
Total Common Equity,552.89,542.43,-307.43,755.85,737.58,698.74,676.95,682.58,665.01,605.26,528.05
Minority Interest,-,-,0.18,0.18,0.19,0.21,0.25,-,-,-,-
Shareholders' Equity,552.89,542.43,-307.25,756.04,737.78,698.95,677.2,682.58,665.01,605.26,528.05
Total Liabilities & Equity,"1,406","1,419","1,374","2,570","1,131","1,082","1,052","1,063","1,086","1,012",911.52
Total Debt,545.95,576.04,"1,400","1,379",192.23,198.12,206.2,211.11,226.52,240.96,257.75
Net Cash (Debt),-377.39,-411.58,"-1,257","-1,131",87.43,70.77,87.12,101.01,83.36,57.6,-45.94
Net Cash Growth,-,-,-,-,23.55%,-18.77%,-13.74%,21.17%,44.71%,-,-
Net Cash Per Share,-4.58,-5.75,-19.59,-17.67,1.33,1.07,1.29,1.47,1.23,0.87,-0.70
Filing Date Shares Outstanding,86.77,86.5,64.56,63.87,64.11,65.24,65.8,66.6,66.52,65.97,65.21
Total Common Shares Outstanding,86.77,86.27,64.42,63.87,64.1,65.1,65.76,65.24,66.28,65.79,65
Working Capital,371.76,302.43,317.04,325.93,373.9,365.16,362.1,355.39,335.02,315.45,237.33
Book Value Per Share,6.37,6.29,-4.77,11.83,11.51,10.73,10.29,10.46,10.03,9.20,8.12
Tangible Book Value,30.4,-20.58,-883.23,-740.95,379.64,335.86,305.8,294.88,262.91,213.79,109.92
Tangible Book Value Per Share,0.35,-0.24,-13.71,-11.60,5.92,5.16,4.65,4.52,3.97,3.25,1.69
Land,-,13.58,13.58,13.58,13.61,13.61,12.14,11.31,-,-,-
Buildings,-,49.9,49.9,46.6,39.45,35.11,35.8,32.23,32.24,30.29,18.75
Machinery,-,358.32,355.45,334.24,309.54,288.67,270.25,258.16,210.76,185.3,177.26
Construction In Progress,-,4.93,4.68,18.88,15.37,18.06,10.86,2.96,7.15,5.51,1.54
Leasehold Improvements,-,13.44,13.74,13.98,11.74,9.27,10.15,9.86,10.05,9.57,10.18
Order Backlog,-,-,-,-,-,161.4,93,72.6,102.9,112.4,84.2
