Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Long-Term Deferred Tax Liabilities,-,-,-,-,22.1,95.56,30.18,-,5.89,-,-
Other Long-Term Liabilities,388.72,272.11,258.73,172.88,109.51,74.85,61.97,29.35,22.6,31.53,25.16
Total Liabilities,"64,437","46,943","40,911","35,845","39,548","30,111","23,955","21,123","19,590","18,720","17,201"
Common Stock,78.67,55.06,55.06,55.06,55.06,55.06,55.06,55.06,55.06,55.06,55.06
Additional Paid-In Capital,"4,002","1,146","1,134","1,126","1,111","1,090","1,074","1,055","1,046","1,033","1,020"
Retained Earnings,"3,560","3,175","2,811","2,536","2,177","1,891","1,672","1,488","1,338","1,143","1,034"
Treasury Stock,-165.49,-336.05,-342.89,-347.26,-323.47,-338.15,-278,-273.83,-212.21,-211.44,-211.52
Comprehensive Income & Other,-324.84,-573.05,-556.94,-702.74,126.31,318.34,83.18,-95.78,-45.53,-57.54,-3.72
Shareholders' Equity,"7,444","3,467","3,100","2,667","3,145","3,017","2,606","2,228","2,182","1,962","1,894"
Total Liabilities & Equity,"71,881","50,410","44,012","38,512","42,693","33,128","26,561","23,351","21,772","20,683","19,094"
Total Debt,"3,454","3,158","4,467","2,793","3,589","2,668","2,046","1,607","1,349","1,945","1,921"
Net Cash (Debt),"-1,157","-1,666","-3,516","-1,146","-1,828",-405.53,135.6,-245.8,-672.14,"-1,074","-1,086"
Net Cash Per Share,-17.30,-33.95,-72.10,-23.51,-37.50,-8.39,2.76,-4.94,-13.49,-21.80,-22.82
Filing Date Shares Outstanding,75.95,72.59,48.74,48.5,48.46,48.18,49.09,49.05,50.05,49.81,49.53
Total Common Shares Outstanding,75.95,48.81,48.55,48.32,48.43,48.01,49.1,49.12,49.89,49.67,49.4
Book Value Per Share,94.13,71.02,63.85,55.20,64.95,62.84,53.09,45.37,43.72,39.51,38.34
Tangible Book Value,"4,803","3,178","2,792","2,335","2,904","2,751","2,332","1,977","1,928","1,699","1,570"
Tangible Book Value Per Share,63.24,65.11,57.49,48.33,59.96,57.30,47.50,40.25,38.63,34.20,31.78
