Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Mar '99Mar 31, 1999","Mar '98Mar 31, 1998","Mar '97Mar 31, 1997"
Comprehensive Income & Other,-125.51,-208.25,-92.68,-106.65,-83.57,-93.84,-94.39,-109.96,-,-0.05,-
Total Common Equity,550.47,404.91,443.73,350.24,586.1,452.3,-642.57,44.36,81.03,69.69,-
Minority Interest,-,-,-,-,-,15.9,15.07,14.76,-,-,-
Shareholders' Equity,550.47,404.91,443.73,350.24,586.1,468.2,-627.51,59.12,81.03,69.69,-
Total Liabilities & Equity,"3,186","3,072","3,130","3,118","2,790","2,761","2,581","2,709",136.08,130.67,-
Total Debt,"2,280","2,351","2,327","2,032","1,828","1,909","2,848","2,238",36.58,42.64,-
Net Cash (Debt),"-1,980","-2,073","-2,030","-1,636","-1,720","-1,806","-2,780","-2,137",-12.21,-11.69,-
Net Cash Per Share,-6.93,-7.27,-7.17,-5.84,-6.16,-7.60,-11.96,-9.19,-0.00,-0.00,-
Filing Date Shares Outstanding,284.09,283.47,282.83,282.42,282.93,282.9,232.4,232.4,8.02,7.68,"376,541"
Total Common Shares Outstanding,284.09,283.47,282.83,282.42,282.99,283.25,232.4,232.4,8,7.68,"376,541"
Working Capital,335.42,335.04,326.59,-146.56,184.8,174.42,128.36,169.49,28.27,29.79,-
Book Value Per Share,1.94,1.43,1.57,1.24,2.07,1.60,-2.76,0.19,10.13,9.07,-
Tangible Book Value,-839.36,-993.82,"-1,084","-1,243","-1,133","-1,307","-2,374","-1,745",81.03,69.69,-
Tangible Book Value Per Share,-2.95,-3.51,-3.83,-4.40,-4.00,-4.61,-10.22,-7.51,10.13,9.07,-
Land,-,418.04,345.31,317.93,295.78,289.69,279.91,252.47,-,-,-
Machinery,-,825.45,770.19,630.21,555.18,527.87,505.31,466.78,-,-,-
Construction In Progress,-,250.42,247.02,193.64,131.87,78.49,42.17,50.8,-,-,-
Leasehold Improvements,-,98.03,82.58,67.39,54.2,51.4,44.81,47.12,-,-,-
