Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Net Cash Per Share,-4.26,-1.82,-2.14,-0.15,8.93,13.61,7.21,9.24,5.52,9.60,11.88
Filing Date Shares Outstanding,96.3,92.5,82.34,70.22,69.38,66.95,57.89,51.28,49.61,41.73,38.98
Total Common Shares Outstanding,96.27,92.48,82.32,70.2,69.34,66.82,57.84,50.86,44.17,41.24,38.88
Working Capital,303.18,472.97,451.75,622.69,675.24,"1,106",747.72,447.64,198.57,341.44,422.29
Book Value Per Share,0.10,2.76,3.35,5.02,13.30,17.28,11.30,11.97,8.68,11.49,13.66
Tangible Book Value,-208.19,32.58,64.74,147.98,747.37,978.86,480.36,435.28,197.5,473.97,531.09
Tangible Book Value Per Share,-2.16,0.35,0.79,2.11,10.78,14.65,8.31,8.56,4.47,11.49,13.66
Land,-,16.62,16.62,16.62,15.49,11.72,-,-,-,-,-
Buildings,-,181.58,181.36,2.8,-,-,-,-,-,-,-
Machinery,-,120.41,116.26,70.28,54.31,41.63,29.19,20.58,17.31,6.76,2.87
Construction In Progress,-,-,-,189.45,76.85,17.65,24.27,1.97,0.43,0.04,2.28
Leasehold Improvements,-,58.02,58.68,43.94,44.08,39.36,16.87,15.71,15.09,12.49,3.47
