Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Impairment of Goodwill,-454.94,-454.94,-,-14.83,-,-,-,-,-0.39,-2.54,-47.77
Gain (Loss) on Sale of Investments,24.61,6.64,87.28,428.42,-39.2,433.13,397.96,218.62,7.05,3.61,-
Gain (Loss) on Sale of Assets,"1,876",1.64,-6.18,-,4.96,-,11.75,-,5.84,14.97,-
Asset Writedown,-,-,-,-,-,-,-1.2,-,-,-0.55,-8.81
Other Unusual Items,-1.39,-1.39,47.54,57.95,0.06,-11.84,-7.84,-10.64,-3.03,-,45.05
Pretax Income,"1,662",-230.54,336.81,126.72,-113.04,-3.54,-98.33,17.22,446.39,258.1,181.23
Income Tax Expense,17.6,13.49,18.86,34.58,25.75,27.83,-20.1,9.86,63.91,40.4,27.47
Earnings From Continuing Operations,"1,645",-244.03,317.95,92.14,-138.79,-31.37,-78.23,7.37,382.48,217.7,153.76
Earnings From Discontinued Operations,-,-,-,-,35.57,"1,402",615.27,217.8,-,-,-
Net Income to Company,"1,645",-244.03,317.95,92.14,-103.22,"1,370",537.03,225.17,382.48,217.7,153.76
Minority Interest in Earnings,92.29,96.4,29.4,27.32,13.69,-6.97,-36.79,13.57,0.7,1.78,5.38
Net Income,"1,737",-147.62,347.35,119.47,-89.53,"1,363",500.25,238.74,383.18,219.48,159.14
Net Income to Common,"1,737",-147.62,347.35,119.47,-89.53,"1,363",500.25,238.74,383.18,219.48,159.14
Net Income Growth,552.94%,-,190.75%,-,-,172.53%,109.54%,-37.70%,74.59%,37.91%,-7.28%
Shares Outstanding (Basic),54,58,65,72,78,80,77,64,59,56,56
Shares Outstanding (Diluted),54,58,73,82,78,80,77,65,61,61,58
Shares Change (YoY),-18.72%,-20.86%,-11.09%,5.34%,-2.39%,3.61%,19.36%,6.35%,0.04%,5.67%,-3.98%
EPS (Basic),32.12,-2.55,5.31,1.66,-1.15,17.04,6.48,3.73,6.46,3.89,2.83
EPS (Diluted),32.09,-2.60,4.87,1.59,-1.15,17.04,6.40,3.69,6.35,3.80,2.77
EPS Growth,700.18%,-,205.18%,-,-,166.24%,73.30%,-41.86%,67.08%,37.12%,-3.40%
Free Cash Flow,-,224.94,214.01,247.47,139.6,344.18,542.2,615.44,510.42,325.31,246.99
Free Cash Flow Per Share,-,3.88,2.93,3.01,1.79,4.30,7.02,9.51,8.39,5.35,4.29
Dividend Per Share,-,-,-,2.040,2.040,-,-,-,-,-,-
Gross Margin,36.76%,36.03%,35.85%,35.34%,31.99%,28.15%,27.07%,12.84%,39.82%,38.34%,39.77%
Operating Margin,2.91%,2.13%,1.54%,2.72%,-4.26%,-21.21%,-57.94%,-151.30%,22.97%,20.59%,20.97%
Profit Margin,82.32%,-6.60%,15.32%,4.95%,-3.42%,71.08%,55.54%,197.95%,21.50%,18.57%,17.52%
Free Cash Flow Margin,-,10.05%,9.44%,10.26%,5.33%,17.94%,60.20%,510.30%,28.64%,27.53%,27.19%
EBITDA,137.88,138.57,154.95,214.17,64.28,-219.89,-380.36,-164.25,446.14,282.79,219.2
EBITDA Margin,6.53%,6.19%,6.83%,8.88%,2.45%,-11.46%,-42.23%,-136.19%,25.04%,23.93%,24.13%
D&A For EBITDA,76.38,90.91,119.96,148.6,175.92,186.89,141.51,18.22,36.75,39.54,28.69
EBIT,61.5,47.67,34.99,65.57,-111.64,-406.78,-521.88,-182.47,409.39,243.26,190.51
EBIT Margin,2.91%,2.13%,1.54%,2.72%,-4.26%,-21.21%,-57.94%,-151.30%,22.97%,20.59%,20.97%
Effective Tax Rate,1.06%,-,5.60%,27.28%,-,-,-,57.23%,14.32%,15.65%,15.16%
Revenue as Reported,"2,110","2,238","2,268","2,412","2,619","1,918",900.7,120.6,"1,782","1,182",908.32
