Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Dividend Growth,8.97%,16.67%,12.50%,23.08%,372.73%,-72.50%,11.11%,50.00%,-,-,-
Gross Margin,21.22%,22.65%,26.44%,24.91%,27.88%,26.02%,24.02%,23.90%,23.47%,24.19%,23.87%
Operating Margin,6.37%,8.12%,14.28%,13.52%,15.34%,12.34%,9.44%,9.09%,8.65%,8.95%,8.76%
Profit Margin,-0.48%,-2.72%,7.46%,8.61%,10.38%,6.11%,6.14%,4.33%,5.37%,6.17%,1.35%
Free Cash Flow Margin,6.89%,4.39%,11.14%,0.48%,1.85%,11.77%,4.54%,5.40%,7.76%,7.95%,4.33%
EBITDA,843.1,976.6,"1,736","1,613","1,394",943.4,759.6,639.6,520.8,494.1,449.7
EBITDA Margin,10.87%,12.47%,17.42%,16.07%,18.23%,15.85%,12.55%,12.20%,11.70%,11.85%,11.74%
D&A For EBITDA,349.4,340.6,312.7,256.2,221,208.7,188.1,163.1,135.7,120.9,114.4
EBIT,493.7,636,"1,423","1,357","1,173",734.7,571.5,476.5,385.1,373.2,335.3
EBIT Margin,6.37%,8.12%,14.28%,13.52%,15.34%,12.34%,9.44%,9.09%,8.65%,8.95%,8.76%
Effective Tax Rate,13.75%,58.86%,22.71%,25.77%,26.20%,25.07%,26.71%,30.89%,36.51%,21.43%,48.61%
