Ticker,Name,MarketCap,Sector,Industry,PE_Ratio,PB_Ratio,DE_Ratio,PEG_Ratio,FreeCashFlow
LBRDK,Liberty Broadband Corporation,8830640128,Communication Services,Telecom Services,8.096306,0.8470435,32.802,,14500000.0
UMBF,UMB Financial Corporation,8830456832,Financial Services,Banks - Regional,13.148357,1.2810893,,,
AGNCM,AGNC Investment Corp. - Deposit,8819795968,Real Estate,REIT - Mortgage,,2.966272,669.943,,
AGNCN,AGNC Investment Corp. - Deposit,8809999360,Real Estate,REIT - Mortgage,,3.0690937,669.943,,
TTAN,"ServiceTitan, Inc.",8742757376,Technology,Software - Application,97.88867,5.860446,10.64,,99254128.0
XP,XP Inc.,8736754688,Financial Services,Capital Markets,10.057575,0.3926695,774.535,,
CAI,"Caris Life Sciences, Inc.",8726331392,Healthcare,Biotechnology,133.86737,19.39789,92.51,,
NTSK,"Netskope, Inc.",8692164608,Technology,Software - Infrastructure,,-1.492866,,,
TTEK,"Tetra Tech, Inc.",8650500096,Industrials,Engineering & Construction,41.1875,4.9698343,61.514,,464584256.0
MMYT,MakeMyTrip Limited,8640333824,Consumer Cyclical,Travel Services,105.49418,184.77597,2202.765,,99894000.0
WTFC,Wintrust Financial Corporation,8561523712,Financial Services,Banks - Regional,12.077505,1.3389218,,,
SOUN,"SoundHound AI, Inc.",8530835456,Technology,Software - Application,-104.325,23.523111,1.22,,-4846250.0
FSV,FirstService Corporation,8528809984,Real Estate,Real Estate Services,59.955128,6.7925487,90.421,,207091248.0
RGEN,Repligen Corporation,8476897280,Healthcare,Medical Instruments & Supplies,84.49438,4.1035714,33.276,,155349376.0
MARA,"MARA Holdings, Inc.",8468667392,Financial Services,Capital Markets,12.422043,1.747202,55.154,,201091376.0
SFD,"Smithfield Foods, Inc.",8446026752,Consumer Defensive,Packaged Foods,10.233334,1.3407786,36.511,,
AAON,"AAON, Inc.",8443316224,Industrials,Building Products & Equipment,70.90136,10.201136,8.581,,-207260256.0
FIVE,"Five Below, Inc.",8420711936,Consumer Cyclical,Specialty Retail,30.608082,4.3808007,105.84,,273983264.0
ONB,Old National Bancorp,8362185728,Financial Services,Banks - Regional,12.666668,1.0559746,,,
GRFS,"Grifols, S.A.",8354627584,Healthcare,Drug Manufacturers - General,18.7451,1.2585572,126.869,,718491904.0
DSGX,The Descartes Systems Group Inc,8320276992,Technology,Software - Application,57.121304,5.5308237,0.532,,219507872.0
QRVO,"Qorvo, Inc.",8301821952,Technology,Semiconductors,105.31176,2.4168422,45.073,,690428096.0
TSEM,Tower Semiconductor Ltd.,8296039936,Technology,Semiconductors,42.488506,2.9793665,6.347,,-89548128.0
APA,APA Corporation,8277389824,Energy,Oil & Gas E&P,8.00173,1.4050064,67.565,,2051250048.0
CORT,Corcept Therapeutics Incorporat,8271680512,Healthcare,Biotechnology,70.66965,13.106475,1.039,,166875872.0
PCTY,Paylocity Holding Corporation,8262660096,Technology,Software - Application,37.19776,6.710721,14.09,,345396000.0
LLYVA,Liberty Media Corporation - Ser,8244661760,Communication Services,Entertainment,47.05914,-15.739975,,,
LLYVK,Liberty Media Corporation - Ser,8236458496,Communication Services,Entertainment,48.47312,-16.212912,,,
BPOP,"Popular, Inc.",8168738816,Financial Services,Banks - Regional,11.723301,1.3829397,,,
RIOT,"Riot Platforms, Inc.",8159431680,Financial Services,Capital Markets,-65.0147,2.436081,26.382,,-107555752.0
AAL,"American Airlines Group, Inc.",8158782976,Industrials,Airlines,14.791073,-2.1184144,,,579500032.0
NICE,NICE Ltd,8156118016,Technology,Software - Application,15.376491,2.146653,14.446,,532428128.0
LYFT,"Lyft, Inc.",8151184384,Technology,Software - Application,86.652176,11.184063,110.448,,969000512.0
JAZZ,Jazz Pharmaceuticals plc,8150723584,Healthcare,Biotechnology,6.2634506,2.2093878,146.588,,1356260480.0
SRAD,Sportradar Group AG,8137190912,Technology,Software - Application,70.512825,29.60172,5.532,,200089744.0
APPF,"AppFolio, Inc.",8105473024,Technology,Software - Application,41.066906,17.869228,8.701,,175103632.0
STEP,StepStone Group Inc.,8062774272,Financial Services,Asset Management,29.375565,33.122448,22.509,,1390065536.0
GH,"Guardant Health, Inc.",8057245184,Healthcare,Diagnostics & Research,-23.97417,-26.475143,,,-131174000.0
CIFR,Cipher Mining Inc.,8030900224,Financial Services,Capital Markets,31.760302,10.827376,25.275,,-303886112.0
HQY,"HealthEquity, Inc.",8028047360,Healthcare,Health Information Services,56.689392,3.7660546,49.153,,288232512.0
MASI,Masimo Corporation,7989006848,Healthcare,Medical Devices,31.771553,7.679725,61.584,,92862496.0
SAIA,"Saia, Inc.",7973899776,Industrials,Trucking,27.675602,3.2645433,18.237,,-273304000.0
ZION,Zions Bancorporation N.A.,7934778880,Financial Services,Banks - Regional,9.813795,1.2156328,,,
CIGI,Colliers International Group In,7919708672,Real Estate,Real Estate Services,69.9148,5.7187395,91.508,,284332640.0
MTCH,"Match Group, Inc.",7863531520,Communication Services,Internet Content & Information,16.19307,-34.25131,,,823294272.0
TIGO,Millicom International Cellular,7828236288,Communication Services,Telecom Services,8.307624,2.212751,227.387,,1617250048.0
CFLT,"Confluent, Inc.",7813625856,Technology,Software - Infrastructure,64.85715,7.3391533,104.145,,174882128.0
COLB,"Columbia Banking System, Inc.",7790419968,Financial Services,Banks - Regional,10.363095,1.0276641,,,
DBX,"Dropbox, Inc.",7777396224,Technology,Software - Infrastructure,17.71779,-5.9156084,,,835337472.0
IESC,"IES Holdings, Inc.",7764882432,Industrials,Engineering & Construction,30.221884,10.035824,8.836,,198331744.0
OLLI,Ollie's Bargain Outlet Holdings,7763398144,Consumer Defensive,Discount Stores,36.662792,4.3310437,37.268,,76940872.0
HALO,"Halozyme Therapeutics, Inc.",7715077120,Healthcare,Biotechnology,15.135012,23.379286,462.233,,429682880.0
HSIC,"Henry Schein, Inc.",7675077120,Healthcare,Medical Distribution,20.379423,2.2425873,68.545,,333249984.0
LKQ,LKQ Corporation,7664764416,Consumer Cyclical,Auto Parts,10.881387,1.1769699,90.494,,526124992.0
CGNX,Cognex Corporation,7613380608,Technology,Scientific & Technical Instruments,62.861107,5.0457077,5.523,,166527632.0
CBSH,"Commerce Bancshares, Inc.",7613102080,Financial Services,Banks - Regional,13.833334,2.1029634,,,
VFS,VinFast Auto Ltd.,7607689728,Consumer Cyclical,Auto Manufacturers,-4.2246757,-4.2269567e-05,,,-65802942283776.0
CVLT,"Commvault Systems, Inc.",7596822016,Technology,Software - Application,95.21667,20.913973,8.476,,265180496.0
LIF,"Life360, Inc.",7586584576,Technology,Software - Application,255.71053,61.616993,84.504,,21341500.0
PONY,Pony AI Inc.,7571283968,Technology,Information Technology Services,-36.275238,9.184996,1.938,,-6420500.0
SITM,SiTime Corporation,7557534720,Technology,Semiconductors,200.72069,6.8761077,0.477,,15738375.0
AMKR,"Amkor Technology, Inc.",7552691712,Technology,Semiconductor Equipment & Materials,25.19672,1.8099388,42.843,,344286240.0
CYTK,"Cytokinetics, Incorporated",7549169664,Healthcare,Biotechnology,-11.581633,-20.248135,,,-292199616.0
WIX,Wix.com Ltd.,7541585408,Technology,Software - Infrastructure,48.051422,-64.1292,,,484327616.0
RNA,"Avidity Biosciences, Inc.",7441070592,Healthcare,Biotechnology,-16.765676,5.144304,0.431,,-259114752.0
ABVX,Abivax SA,7421696000,Healthcare,Biotechnology,-31.589405,-125.361374,,,-88009752.0
GTLB,GitLab Inc.,7384841216,Technology,Software - Infrastructure,68.765625,8.466718,0.044,,52223876.0
SIRI,SiriusXM Holdings Inc.,7284470272,Communication Services,Entertainment,7.04886,0.6436645,92.162,,931124992.0
CHYM,"Chime Financial, Inc.",7255799808,Technology,Software - Application,-68.97051,5.101168,6.153,,
MRUS,Merus N.V.,7191943680,Healthcare,Biotechnology,-24.333334,8.519616,1.307,,-179212752.0
RYTM,"Rhythm Pharmaceuticals, Inc.",7140160000,Healthcare,Biotechnology,-40.387638,-579.75806,85.327,,-33768376.0
FCFS,"FirstCash Holdings, Inc.",7085021184,Financial Services,Credit Services,24.575123,3.311256,94.521,,576169856.0
WING,Wingstop Inc.,7041811456,Consumer Cyclical,Restaurants,41.998333,-10.24016,,,59061876.0
AEIS,"Advanced Energy Industries, Inc",7020830720,Industrials,Electrical Equipment & Parts,82.51102,5.6161923,54.681,,130742752.0
BOKF,BOK Financial Corporation,6999447040,Financial Services,Banks - Regional,13.132775,1.1855347,,,
WAY,Waystar Holding Corp.,6988076032,Healthcare,Health Information Services,66.44545,2.0056527,39.598,,299248864.0
SANM,Sanmina Corporation,6944562176,Technology,Electronic Components,27.882229,3.024974,14.732,,260805248.0
PNFP,"Pinnacle Financial Partners, In",6932309504,Financial Services,Banks - Regional,11.849734,1.0671345,,,
QMMM,QMMM Holdings Limited,6830437376,Communication Services,Advertising Agencies,,525.9912,1.606,,-6274201.0
VRNS,"Varonis Systems, Inc.",6813584896,Technology,Software - Infrastructure,196.29031,19.96391,220.691,,215856256.0
HLNE,Hamilton Lane Incorporated,6808893440,Financial Services,Asset Management,23.24521,6.956372,37.92,,197093872.0
OLED,Universal Display Corporation,6772435968,Technology,Electronic Components,27.801758,3.946245,1.274,,103100248.0
MIDD,The Middleby Corporation,6749372928,Industrials,Specialty Industrial Machinery,16.930027,1.8880266,66.337,,414878112.0
ROAD,"Construction Partners, Inc.",6685940736,Industrials,Engineering & Construction,86.67883,7.788928,176.006,,99696624.0
LNW,"Light & Wonder, Inc.",6670815744,Consumer Cyclical,Gambling,20.060759,9.481871,698.718,,378124992.0
LCID,"Lucid Group, Inc.",6648834560,Consumer Cyclical,Auto Manufacturers,-24.545456,2.7565086,64.158,,-2090154112.0
LFUS,"Littelfuse, Inc.",6584707584,Technology,Electronic Components,61.633415,2.5334277,34.504,,308591360.0
EXLS,"ExlService Holdings, Inc.",6557482496,Technology,Information Technology Services,28.062067,6.2065277,32.328,,229935504.0
NUVL,"Nuvalent, Inc.",6465640960,Healthcare,Biotechnology,-21.137383,6.8681507,0.0,,-121000128.0
GDS,GDS Holdings Limited,6463914496,Technology,Information Technology Services,154.56819,0.26144823,186.785,,-824753600.0
CRSP,CRISPR Therapeutics AG,6451113472,Healthcare,Biotechnology,-14.373016,3.7413492,12.591,,-239332128.0
WULF,TeraWulf Inc.,6406593536,Financial Services,Capital Markets,156.9,37.092197,287.313,,-205312496.0
MKTX,"MarketAxess Holdings, Inc.",6401534976,Financial Services,Capital Markets,28.925926,4.6377673,4.944,,359472128.0
AXSM,"Axsome Therapeutics, Inc.",6373417984,Healthcare,Biotechnology,-59.893513,88.186775,297.375,,-33846500.0
CLSK,"CleanSpark, Inc.",6301889536,Financial Services,Capital Markets,26.918604,3.030898,38.215,,-334503008.0
LEGN,Legend Biotech Corporation,6284632576,Healthcare,Biotechnology,-50.835823,6.0702195,37.46,,-259179872.0
CRUS,"Cirrus Logic, Inc.",6269131776,Technology,Semiconductors,19.126959,3.2440119,7.323,,332173376.0
CHDN,"Churchill Downs, Incorporated",6120450048,Consumer Cyclical,Gambling,15.116581,5.898706,478.733,,125600000.0
URBN,"Urban Outfitters, Inc.",6083312128,Consumer Cyclical,Apparel Retail,13.292157,2.3564377,45.735,,311148736.0
CCCS,CCC Intelligent Solutions Holdi,6079469568,Technology,Software - Application,inf,2.8508506,51.588,,255386624.0
ITRI,"Itron, Inc.",6053053952,Technology,Scientific & Technical Instruments,22.67607,3.758571,77.851,,246806368.0
SMTC,Semtech Corporation,6041205248,Technology,Semiconductors,110.04762,10.880414,98.744,,126297248.0
LOPE,"Grand Canyon Education, Inc.",6021897728,Consumer Defensive,Education & Training Services,26.002424,7.689716,13.861,,205498368.0
CORZ,"Core Scientific, Inc.",6021088256,Technology,Software - Infrastructure,63.967743,-5.646355,,,-73454624.0
RRR,"Red Rock Resorts, Inc.",6003442176,Consumer Cyclical,Resorts & Casinos,19.993174,16.896452,1149.62,,159793504.0
TTMI,"TTM Technologies, Inc.",5936380416,Technology,Electronic Components,64.51685,3.6238558,62.777,,-44177500.0
NXST,"Nexstar Media Group, Inc.",5919760384,Communication Services,Broadcasting,10.187043,2.620065,295.789,,1474249984.0
VLY,Valley National Bancorp,5859271680,Financial Services,Banks - Regional,13.423078,0.81238365,,,
GGAL,Grupo Financiero Galicia S.A.,5843884032,Financial Services,Banks - Regional,4.87211,0.00781769,,,
RDNT,"RadNet, Inc.",5843697664,Healthcare,Diagnostics & Research,101.42667,6.124799,156.119,,143317744.0
PCVX,"Vaxcyte, Inc.",5775841280,Healthcare,Biotechnology,-9.41189,1.8737056,2.795,,-368423616.0
PI,"Impinj, Inc.",5760195584,Technology,Semiconductors,inf,30.556416,155.79,,24460124.0
MAT,"Mattel, Inc.",5748047872,Consumer Cyclical,Leisure,11.571428,2.6443093,123.473,,554698368.0
GLBE,Global-E Online Ltd.,5743530496,Consumer Cyclical,Internet Retail,1691.0,6.3167725,2.711,,176374000.0
GNTX,Gentex Corporation,5731964416,Consumer Cyclical,Auto Parts,14.771187,2.3617887,0.532,,190359936.0
IRTC,"iRhythm Technologies, Inc.",5721312256,Healthcare,Medical Devices,-97.04891,55.301952,708.802,,47564876.0
BULL,Webull Corporation,5691659264,Technology,Software - Application,77.5,7.4855123,15.015,,
OZK,Bank OZK,5682193408,Financial Services,Banks - Regional,8.173701,1.0153257,,,
CAMT,Camtek Ltd.,5650650112,Technology,Semiconductor Equipment & Materials,45.53125,9.034505,32.033,,44249248.0
GSAT,"Globalstar, Inc.",5640737280,Communication Services,Telecom Services,4458.5,15.64935,150.441,,-303579872.0
HUT,Hut 8 Corp.,5632025600,Financial Services,Capital Markets,38.19231,4.501731,26.073,,-25400250.0
BRKR,Bruker Corporation,5566583296,Healthcare,Medical Devices,71.230774,3.114961,132.746,,223200000.0
KRYS,"Krystal Biotech, Inc.",5564577280,Healthcare,Biotechnology,38.916756,5.333137,0.93,,119934872.0
MTSR,"Metsera, Inc.",5562922496,Healthcare,Biotechnology,-15.392701,12.30913,0.237,,
TGTX,"TG Therapeutics, Inc.",5559643136,Healthcare,Biotechnology,92.1579,18.402523,92.075,,-86542496.0
OPEN,Opendoor Technologies Inc,5543633408,Real Estate,Real Estate Services,-27.667036,8.686163,346.117,,348500000.0
CWST,"Casella Waste Systems, Inc.",5522400768,Industrials,Waste Management,461.3158,3.5806203,79.979,,80841752.0
SLM,SLM Corporation,5518501888,Financial Services,Credit Services,12.833496,2.5949156,269.94,,
CACC,Credit Acceptance Corporation,5516005888,Financial Services,Credit Services,14.261836,3.5708451,416.235,,
FROG,JFrog Ltd.,5452424704,Technology,Software - Application,70.62121,6.5694156,1.675,,177626256.0
PTCT,"PTC Therapeutics, Inc.",5439126528,Healthcare,Biotechnology,9.689361,-26.252882,,,517716736.0
BTSG,"BrightSpring Health Services, I",5415435264,Healthcare,Health Information Services,123.76,3.6081634,155.462,,-368028864.0
JSM,Navient Corporation - 6% Senior,5413581312,,,16.417374,1.4368933,,,
BTDR,Bitdeer Technologies Group,5390918656,Technology,Software - Application,87.81035,7.6288195,88.534,,-421337888.0
UFPI,"UFP Industries, Inc.",5369344512,Basic Materials,Lumber & Wood Production,15.914947,1.7068874,11.827,,150662624.0
SNEX,StoneX Group Inc.,5356688384,Financial Services,Capital Markets,17.41908,2.533449,844.931,,
CAR,"Avis Budget Group, Inc.",5349412864,Industrials,Rental & Leasing Services,13.313761,-1.9479886,,,226124992.0
ALGM,"Allegro MicroSystems, Inc.",5325484032,Technology,Semiconductors,46.709675,5.8047705,36.254,,59261752.0
ALKS,Alkermes plc,5277542912,Healthcare,Drug Manufacturers - Specialty & Generic,15.579711,3.27644,4.474,,345668736.0
ACIW,"ACI Worldwide, Inc.",5271566848,Technology,Software - Infrastructure,21.584745,3.7803338,68.589,,285156000.0
ACT,"Enact Holdings, Inc.",5271113216,Financial Services,Insurance - Specialty,8.095239,1.0142045,14.24,,592919232.0
ARWR,"Arrowhead Pharmaceuticals, Inc.",5237196288,Healthcare,Biotechnology,-8.921802,9.957684,137.222,,-48370124.0
SSRM,SSR Mining Inc.,5186918400,Basic Materials,Gold,32.73077,1.5880816,8.729,,149453744.0
CHRD,Chord Energy Corporation,5158954496,Energy,Oil & Gas E&P,21.351898,0.6415907,11.814,,686644352.0
UBSI,"United Bankshares, Inc.",5087968256,Financial Services,Banks - Regional,12.647887,0.94795734,,,
ATAT,Atour Lifestyle Holdings Limite,5063133184,Consumer Cyclical,Lodging,26.539568,1.5524788,51.639,,1434805888.0
ABTC,American Bitcoin Corp.,5024492544,Financial Services,Capital Markets,51.363636,1.0228095,14.52,,
HWC,Hancock Whitney Corporation,5018341888,Financial Services,Banks - Regional,10.646319,1.1261989,,,
TMC,TMC the metals company Inc.,5010854400,Basic Materials,Other Industrial Metals & Mining,-94.6,45.92233,3.027,,-6891500.0
ACLX,"Arcellx, Inc.",5008771584,Healthcare,Biotechnology,-40.355556,12.817617,13.389,,-4536125.0
RUN,Sunrun Inc.,5006897152,Technology,Solar,-28.893333,1.7053593,318.586,,-2981321216.0
REYN,Reynolds Consumer Products Inc.,5000478720,Consumer Cyclical,Packaging & Containers,16.091217,2.3316038,80.959,,296624992.0
SIGI,"Selective Insurance Group, Inc.",4999765504,Financial Services,Insurance - Property & Casualty,13.462356,1.5792454,26.793,,1042405760.0
OMAB,Grupo Aeroportuario del Centro ,4948178944,Industrials,Airports & Air Services,17.701723,4.636889,155.962,,2175064320.0
ENPH,"Enphase Energy, Inc.",4931919360,Technology,Solar,29.317831,5.614608,140.21,,307361248.0
VSAT,"ViaSat, Inc.",4917377024,Technology,Communication Equipment,-23.0,1.0755882,153.967,,623358528.0
DOOO,BRP Inc.,4905210368,Consumer Cyclical,Recreational Vehicles,34.670105,10.118851,614.972,,348150016.0
SLMBP,SLM Corporation - Floating Rate,4894520832,Financial Services,Credit Services,34.94639,7.357676,269.94,,
UPST,"Upstart Holdings, Inc.",4845092352,Financial Services,Credit Services,132.1579,6.683524,212.942,,-223471008.0
FTDR,"frontdoor, inc.",4796404224,Consumer Cyclical,Personal Services,19.55193,18.96661,482.283,,278875008.0
PTGX,"Protagonist Therapeutics, Inc.",4787161088,Healthcare,Biotechnology,105.38356,7.1522875,1.688,,26000000.0
EOSE,"Eos Energy Enterprises, Inc.",4785768448,Industrials,Electrical Equipment & Parts,-15.797297,-4.0779066,,,-83960872.0
STNE,StoneCo Ltd.,4777986048,Technology,Software - Infrastructure,12.760715,0.41319734,123.469,,-4030164480.0
MMSI,"Merit Medical Systems, Inc.",4759736320,Healthcare,Medical Instruments & Supplies,40.85787,3.2031994,55.143,,190721120.0
QUBT,Quantum Computing Inc.,4757486592,Technology,Computer Hardware,-68.741936,8.49681,0.548,,-15276250.0
QLYS,"Qualys, Inc.",4713580544,Technology,Software - Infrastructure,25.957888,9.264742,10.891,,221283632.0
CLBT,Cellebrite DI Ltd.,4699918848,Technology,Software - Infrastructure,48.387497,11.582884,5.468,,122917128.0
CZR,"Caesars Entertainment, Inc.",4698507776,Consumer Cyclical,Resorts & Casinos,16.865671,1.206556,632.192,,186250000.0
FFIN,"First Financial Bankshares, Inc",4680370688,Financial Services,Banks - Regional,19.201754,2.6865487,,,
PECO,"Phillips Edison & Company, Inc.",4673193984,Real Estate,REIT - Retail,61.41818,1.8527862,92.248,,197524000.0
IEP,Icahn Enterprises L.P. - Deposi,4665344000,Energy,Oil & Gas Refining & Marketing,10.037037,1.8397827,210.809,,838374976.0
MRCY,Mercury Systems Inc,4644400128,Industrials,Aerospace & Defense,83.473114,3.1085572,18.294,,162487632.0
BCPC,Balchem Corporation,4642065920,Basic Materials,Specialty Chemicals,32.81422,3.6622639,16.379,,126151624.0
SHC,Sotera Health Company,4593033216,Healthcare,Diagnostics & Research,179.83331,8.991667,460.02,,218806880.0
VCTR,"Victory Capital Holdings, Inc. ",4582675456,Financial Services,Asset Management,17.155,1.8631045,41.121,,273309120.0
DLO,DLocal Limited,4578838016,Technology,Software - Infrastructure,32.583336,10.255738,13.545,,10224750.0
MZTI,The Marzetti Company,4569542656,Consumer Defensive,Packaged Foods,27.381187,4.5754857,,,157678256.0
DJT,Trump Media & Technology Group ,4545013760,Communication Services,Internet Content & Information,181.05554,1.9773085,41.51,,-1032224896.0
NMRK,"Newmark Group, Inc.",4540588032,Real Estate,Real Estate Services,44.390247,2.4975984,180.515,,-38506124.0
CROX,"Crocs, Inc.",4529964032,Consumer Cyclical,Footwear & Accessories,22.627716,3.2109666,124.8,,576841024.0
ENLT,Enlight Renewable Energy Ltd.,4518951936,Utilities,Utilities - Renewable,201.65118,3.0498846,243.293,,-609407360.0
NAMS,NewAmsterdam Pharma Company N.V,4517527552,Healthcare,Biotechnology,-21.07672,5.7573347,0.042,,-85028000.0
WFRD,Weatherford International plc,4516625408,Energy,Oil & Gas Equipment & Services,9.681356,2.9875898,115.01,,342500000.0
CALM,"Cal-Maine Foods, Inc.",4495671296,Consumer Defensive,Farm Products,3.5603614,1.6654677,0.0,,881137472.0
SAIC,Science Applications Internatio,4487605248,Technology,Information Technology Services,11.849332,2.9571228,161.173,,221500000.0
SLAB,"Silicon Laboratories, Inc.",4479289856,Technology,Semiconductors,117.51725,4.2158656,0.0,,104445128.0
LAUR,"Laureate Education, Inc.",4438576128,Consumer Defensive,Education & Training Services,18.04491,4.223546,42.648,,287325760.0
LSTR,"Landstar System, Inc.",4402732032,Industrials,Integrated Freight & Logistics,26.628931,4.775008,15.666,,182054000.0
BGC,"BGC Group, Inc.",4380542976,Financial Services,Capital Markets,31.0,4.7546015,188.354,,
PLUG,"Plug Power, Inc.",4373581312,Industrials,Electrical Equipment & Parts,-6.54386,2.546075,56.235,,-469599008.0
KYMR,"Kymera Therapeutics, Inc.",4370648576,Healthcare,Biotechnology,-19.729904,4.4563875,8.823,,-153841376.0
OPCH,"Option Care Health, Inc.",4355836928,Healthcare,Medical Care Facilities,21.353176,3.2106206,90.349,,194119632.0
FLY,Firefly Aerospace Inc.,4312635904,Industrials,Aerospace & Defense,-65.8463,-0.45602286,302.579,,
AKRO,"Akero Therapeutics, Inc.",4307255808,Healthcare,Biotechnology,-12.644707,4.1866627,3.543,,-161483376.0
OSIS,"OSI Systems, Inc.",4289850368,Technology,Electronic Components,29.262342,4.500627,71.742,,41348248.0
DORM,"Dorman Products, Inc.",4275863040,Consumer Cyclical,Auto Parts,19.098091,3.0568943,39.958,,98206496.0
IJT,iShares S&P SmallCap 600 Growth,4272782592,,,21.136053,1.0915235,,,
CRNX,"Crinetics Pharmaceuticals, Inc.",4231798272,Healthcare,Biotechnology,-11.540155,3.5790613,4.262,,-177600880.0
MENS,Jyong Biotech Ltd.,4227138048,Healthcare,Biotechnology,,-106.60784,,,-1727875.0
AVT,"Avnet, Inc.",4214335232,Technology,Electronics & Computer Distribution,18.898182,0.8695725,57.422,,555693120.0
OS,"OneStream, Inc.",4213111808,Technology,Software - Infrastructure,157.27272,7.03252,3.431,,232938752.0
FELE,"Franklin Electric Co., Inc.",4211360000,Industrials,Specialty Industrial Machinery,24.595856,3.3469648,27.344,,147005632.0
SBRA,"Sabra Health Care REIT, Inc.",4207153664,Real Estate,REIT - Healthcare Facilities,23.072369,1.5506722,91.738,,286910496.0
IBOC,International Bancshares Corpor,4193070592,Financial Services,Banks - Regional,10.201966,1.386838,,,
CVCO,"Cavco Industries, Inc.",4163652864,Consumer Cyclical,Residential Construction,22.96658,3.9338791,3.552,,114097504.0
SPSC,"SPS Commerce, Inc.",4155937280,Technology,Software - Application,50.38532,4.386231,1.137,,135221120.0
BANF,BancFirst Corporation,4096711936,Financial Services,Banks - Regional,17.706858,2.3660967,,,
VEON,VEON Ltd.,4089744640,Communication Services,Telecom Services,3.7750735,2.7106168,328.409,,623562496.0
SKYW,"SkyWest, Inc.",4079819008,Industrials,Airlines,10.283383,1.5770385,99.769,,226931744.0
RUSHB,"Rush Enterprises, Inc.",4070986496,Consumer Cyclical,Auto & Truck Dealerships,15.977208,2.0241103,80.639,,215367008.0
RUSHA,"Rush Enterprises, Inc.",4057716224,Consumer Cyclical,Auto & Truck Dealerships,14.578347,1.8468924,80.639,,215367008.0
WSC,WillScot Holdings Corporation,4049349888,Industrials,Rental & Leasing Services,37.694916,3.917562,383.344,,477300864.0
DGNX,Diginex Limited,4031707136,Industrials,Consulting Services,,563.5028,5.215,,-9849145.0
GLNG,Golar LNG Limited,4012206080,Energy,Oil & Gas Midstream,20.333334,2.1170218,85.567,,-799868352.0
PLXS,Plexus Corp.,4002671360,Technology,Electronic Components,25.298634,2.8190842,12.864,,257200496.0
VERX,"Vertex, Inc.",3980476160,Technology,Software - Application,36.65441,16.018637,141.868,,88519248.0
PAGP,"Plains GP Holdings, L.P.",3977179392,Energy,Oil & Gas Midstream,10.230538,2.4952533,62.789,,1093374976.0
SMH,VanEck Semiconductor ETF,3975225088,,,37.902786,,,,
VKTX,"Viking Therapeutics, Inc.",3963684864,Healthcare,Biotechnology,-23.397352,4.9894085,0.11,,-102103128.0
KC,Kingsoft Cloud Holdings Limited,3952936192,Technology,Software - Application,-32.280487,0.5262844,162.118,,-1533871872.0
POWL,"Powell Industries, Inc.",3921614336,Industrials,Electrical Equipment & Parts,22.583334,6.597152,0.206,,46796876.0
