Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Current Portion of Long-Term Debt,"1,796","1,420","4,932","1,022",384.16,"2,124",943.65,75.28,70.29,458.62,302.17
Current Portion of Leases,"1,194","1,108",895.97,880.55,852.03,856.12,716.43,219.7,201.32,243.72,140.49
Current Income Taxes Payable,44.16,69.57,35.2,42.02,43.77,29.03,48.03,13.11,13.31,21.9,49.96
Current Unearned Revenue,139.46,94.56,103.54,98.72,57.77,65.32,60.22,61.93,60.33,325.13,348.44
Other Current Liabilities,"1,289","4,094","3,417","2,801","2,852","2,384","1,831",987.46,734.52,650.88,848.23
Total Current Liabilities,"10,446","9,343","11,437","6,332","5,180","6,122","4,469","2,191","1,764","4,374","2,821"
Long-Term Debt,"14,653","9,665","6,883","8,909","6,482","3,901","2,140","2,150","2,117",268.22,"2,088"
Long-Term Leases,"5,764","5,312","4,430","3,953","3,404","1,334","2,222",765.99,600.88,536.62,579.07
Long-Term Unearned Revenue,219.1,273.82,145.11,2.67,2.29,4.1,5.91,11.62,17.86,88.42,99.82
Long-Term Deferred Tax Liabilities,898.53,734.4,688.36,682.58,348.4,299.09,202.57,157.72,190.87,274.7,293.21
Other Long-Term Liabilities,107.85,107.85,287.16,87.17,77.57,816.44,2.44,511.16,16.51,28.69,41.88
Total Liabilities,"32,089","25,436","23,872","19,967","15,494","12,476","9,042","5,788","4,707","5,571","5,923"
Common Stock,0.11,0.11,0.11,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.03
Additional Paid-In Capital,"17,350","17,299","17,291","15,240","15,198","13,083","9,203","9,141","8,980","9,016","6,403"
Retained Earnings,"-11,002","-10,753","-10,936","-8,292","-7,516","-7,161","-3,978","-3,796","-3,591","-2,804","-2,171"
Treasury Stock,-161.89,-161.89,-326.95,-349.52,-349.52,-349.52,-349.52,-337.68,-337.68,-204.56,-193.14
Comprehensive Income & Other,-15.82,-18.5,-14.34,11.02,-90.44,-55.54,77.9,85.98,-2.67,118.29,-24.24
Total Common Equity,"6,170","6,366","6,014","6,610","7,242","5,517","4,953","5,094","5,050","6,125","4,015"
Minority Interest,"1,450",554.92,499.97,372.24,358.77,332.55,278.56,268.98,151.47,725.8,909.64
Shareholders' Equity,"7,620","6,921","6,514","6,982","7,601","6,897","5,232","5,363","5,201","6,851","4,925"
Total Liabilities & Equity,"39,708","32,357","30,386","26,948","23,095","19,374","14,274","11,151","9,908","12,422","10,848"
Total Debt,"24,747","18,450","17,528","14,764","11,122","8,249","6,257","3,261","3,039","3,194","3,386"
Net Cash (Debt),"-20,585","-16,903","-14,893","-12,043","-9,681","-5,221","-4,067",-617.27,-510.14,"-1,599","-1,580"
Net Cash Per Share,-70.32,-58.21,-99.16,-81.48,-63.72,-43.70,-36.48,-5.49,-4.55,-15.55,-19.27
Filing Date Shares Outstanding,268.41,269.03,263.21,148.45,148.02,143.68,113.33,112.39,111.88,112.29,87.37
Total Common Shares Outstanding,268.41,268.93,257.4,148.45,148.02,136.33,113.33,112.39,111.88,113.31,87.09
Working Capital,-267.1,"-2,523","-1,614",720.19,144.13,-66.35,759.16,"2,487","2,481",784.7,648.02
Book Value Per Share,22.99,23.67,23.37,44.52,48.93,40.47,43.71,45.33,45.13,54.06,46.10
Tangible Book Value,"3,330","4,196","4,029","3,172","4,665","3,609","3,320","3,602","3,495","3,224",920.14
Tangible Book Value Per Share,12.41,15.60,15.65,21.37,31.52,26.47,29.29,32.05,31.24,28.46,10.57
Machinery,-,"9,582","7,890","6,696","5,136","3,910","2,925","2,567","2,199","2,284","2,295"
Construction In Progress,-,"4,529","3,444","2,770","3,239","2,142","1,234",210.36,419.65,"1,008",969.46
Leasehold Improvements,-,"6,040","5,821","4,819","3,303","2,610","1,459",932.9,789.73,666.05,398.47
