Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Shares Change (YoY),-4.21%,-3.28%,0.79%,-0.54%,-0.57%,0.61%,0.71%,0.90%,4.57%,4.81%,-0.75%
EPS (Basic),1.92,1.66,1.71,0.56,1.46,1.14,0.86,1.06,0.91,4.04,1.17
EPS (Diluted),1.91,1.65,1.71,0.56,1.46,1.14,0.86,1.06,0.91,4.01,1.17
EPS Growth,10.23%,-3.51%,207.36%,-61.89%,28.08%,32.55%,-18.87%,16.48%,-77.31%,242.74%,23.16%
Free Cash Flow,905.75,687.4,808.4,655.37,888.7,812.45,881.83,812.44,602.76,360.76,455.71
Free Cash Flow Per Share,3.48,2.61,2.97,2.42,3.27,2.97,3.24,3.01,2.25,1.41,1.87
Dividend Per Share,1.063,1.050,1.000,0.972,0.884,0.777,0.698,0.630,0.548,0.477,0.415
Dividend Growth,4.94%,5.00%,2.88%,10.01%,13.72%,11.25%,10.86%,15.00%,14.84%,14.94%,15.66%
Gross Margin,76.09%,75.91%,76.87%,75.62%,75.28%,75.91%,74.34%,73.95%,72.82%,72.46%,72.60%
Operating Margin,20.46%,19.82%,17.50%,15.12%,19.70%,21.84%,19.36%,20.95%,18.98%,18.26%,22.11%
Profit Margin,9.60%,8.43%,8.06%,3.35%,11.37%,9.18%,7.53%,9.95%,8.60%,44.77%,15.59%
Free Cash Flow Margin,17.46%,13.30%,14.01%,14.61%,25.44%,23.99%,28.36%,28.32%,21.41%,15.75%,24.98%
EBITDA,"1,516","1,477","1,573","1,112",993.71,"1,041",910.92,888.58,805.26,633.48,571.54
EBITDA Margin,29.22%,28.57%,27.27%,24.80%,28.44%,30.75%,29.29%,30.97%,28.60%,27.65%,31.33%
D&A For EBITDA,454.27,452.46,564,434.17,305.35,301.81,309.02,287.54,271.06,215.16,168.13
EBIT,"1,061","1,024","1,009",678.11,688.37,739.52,601.9,601.03,534.2,418.32,403.41
EBIT Margin,20.46%,19.82%,17.50%,15.12%,19.70%,21.84%,19.36%,20.95%,18.98%,18.26%,22.11%
Effective Tax Rate,14.33%,9.54%,36.20%,31.97%,23.01%,52.23%,32.11%,35.17%,37.25%,-,2.16%
Revenue as Reported,"5,188","5,168","5,770","4,485","3,494","3,386","3,110","2,869","2,815","2,291","1,824"
