Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Pension & Post-Retirement Benefits,133.52,132.22,127.26,126.31,60.95,74.51,73.13,75.24,65.72,58.63,61.99
Long-Term Deferred Tax Liabilities,130.65,141.51,148.63,423.96,65.89,108.22,148.74,55.87,79.94,94.72,79.23
Other Long-Term Liabilities,115.87,121.46,189.8,240.27,52.21,62.94,206.16,251.63,227.8,218.11,187.25
Total Liabilities,"9,523","9,843","10,006","13,067","6,147","5,510","6,228","4,049","4,048","3,947","3,175"
Common Stock,"2,189","2,194","2,272","2,177","2,039","1,948","1,852","1,774","1,707","1,613",817.79
Additional Paid-In Capital,-,-,-,-,-,-,-,-,-,-,147.28
Retained Earnings,"1,939","1,940","2,119","2,049","2,160","2,153","2,159","2,114","1,994","1,898",992.55
Treasury Stock,-130.56,-138.16,-123.27,-151.6,-159.97,-69.39,-23.61,-28.77,-18.73,-27.52,-25.27
Comprehensive Income & Other,-46.51,-67.07,-69.62,-53.56,-7.66,66.24,17.83,24.12,33.65,48.8,46.31
Total Common Equity,"3,951","3,929","4,198","4,021","4,031","4,098","4,005","3,883","3,716","3,532","1,979"
Minority Interest,1.77,1.72,1.52,1.33,1.14,1.51,1.32,1.22,1.04,0.96,0.54
Shareholders' Equity,"3,953","3,931","4,200","4,022","4,032","4,099","4,007","3,885","3,717","3,533","1,979"
Total Liabilities & Equity,"13,475","13,774","14,206","17,089","10,179","9,609","10,235","7,934","7,765","7,481","5,154"
Total Debt,"6,631","6,646","6,693","9,257","4,475","3,872","4,476","2,615","2,621","2,570","2,146"
Net Cash (Debt),"-5,539","-5,487","-5,408","-8,022","-2,775","-2,261","-2,775","-1,674","-1,938","-2,123",-850.39
Net Cash Per Share,-21.29,-20.81,-19.84,-29.66,-10.20,-8.27,-10.21,-6.20,-7.24,-8.30,-3.48
Filing Date Shares Outstanding,247.56,249.67,265.05,267.65,266.11,270.19,271.25,269.21,266.96,262.96,241.54
Total Common Shares Outstanding,247.51,250.14,264.66,267.37,265.82,269.97,271.24,269.03,266.96,262.96,241.54
Working Capital,-325.73,-545.6,-523.17,-944.38,817.11,840.16,482.17,546.61,332.98,-123.57,"1,001"
Book Value Per Share,15.96,15.71,15.86,15.04,15.17,15.18,14.77,14.43,13.92,13.43,8.19
Tangible Book Value,"-5,344","-5,698","-5,914","-8,861","-2,361","-1,847","-2,345","-1,104","-1,238","-1,435","-1,057"
Tangible Book Value Per Share,-21.59,-22.78,-22.35,-33.14,-8.88,-6.84,-8.65,-4.10,-4.64,-5.46,-4.37
Land,-,60.61,59.47,62.04,49.01,48.54,49.27,49.56,47.88,48.43,48.53
Machinery,-,499.16,477.77,442.14,384.84,355.02,336.18,301.06,243.5,188.54,155.97
Leasehold Improvements,-,142.28,128.79,123.61,107.74,106.66,111.38,113.51,118.2,81.56,57.06
