Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Total Liabilities & Equity,"1,818","2,626","3,042","3,211","1,887","1,713","1,396","1,155",905.44,820.53,601.74
Total Debt,586.2,846.1,970,"1,029",32.7,34.35,20.49,-,-,0.07,185.15
Net Cash (Debt),-273.9,-668.5,-807,-825.9,712.6,607.1,667.2,552.49,315.3,305.9,-52.83
Net Cash Growth,-,-,-,-,17.38%,-9.01%,20.76%,75.23%,3.07%,-,-
Net Cash Per Share,-5.07,-12.54,-14.92,-14.96,12.35,10.47,11.68,9.86,5.64,5.75,-0.98
Filing Date Shares Outstanding,53.71,53.95,52.91,52.6,55.36,55.27,53.79,53.17,51.64,50.42,49.49
Total Common Shares Outstanding,53.71,53.6,52.8,52.5,55.34,55.25,53.7,53.09,51.64,50.19,49.88
Working Capital,678.6,608.1,668.1,678.6,970.8,867.33,823.84,642.72,430.04,286.86,166.51
Book Value Per Share,15.08,19.63,25.85,25.50,28.01,25.48,21.75,18.25,14.02,11.16,5.52
Tangible Book Value,652.5,397,304.8,170.9,"1,377","1,231","1,118",917.84,676.29,511.08,227.47
Tangible Book Value Per Share,12.15,7.41,5.77,3.26,24.89,22.27,20.83,17.29,13.10,10.18,4.56
Land,47.7,54.3,66.2,65.1,57,57.15,40.22,23.76,23.76,23.76,23.74
Buildings,143.5,150.3,151,151,142.1,122.31,101.73,88.45,88,85.97,78.88
Machinery,205.7,253.2,280.7,254.8,184.2,163.3,135.68,121.8,112.88,78.29,80.07
Construction In Progress,30.7,30.6,59.2,50.6,25.1,44.59,39.11,13.32,6.37,7.92,7.12
Leasehold Improvements,32.2,40.8,37.5,32.3,21.9,19.3,15.92,16.43,15.33,8.29,7.73
