Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Other Long-Term Liabilities,"1,432",132.14,"3,827",207.81,472.15,328.19,313.2,331.04,342.11,97.66,62.74
Total Liabilities,"53,608","49,980","54,323","50,629","45,736","30,591","20,137","15,363","8,669","5,217","3,073"
Common Stock,0.56,0.53,0.52,0.52,0.51,0.51,0.41,0.34,0.32,0.26,0.08
Additional Paid-In Capital,"30,701","29,596","29,337","29,049","28,983","28,729","12,403","7,276","5,861","4,037",303.62
Retained Earnings,"-5,354","-6,044","-9,470","-5,180","-3,911","-2,724","-2,057","-1,615","-1,186",-858.67,-582.25
Comprehensive Income & Other,-947.24,"-1,094",-974.39,-848.36,-599.19,-439.64,-52.68,-139.25,-200.69,-192.08,-61.95
Total Common Equity,"24,401","22,458","18,893","23,021","24,474","25,566","10,294","5,522","4,476","2,986",-340.51
Minority Interest,113.89,129.93,165.58,116.59,463.85,120.82,-,-,-,-,-
Shareholders' Equity,"25,591","23,669","20,124","24,185","25,896","26,668","11,356","5,522","4,476","2,986","2,055"
Total Liabilities & Equity,"79,199","73,649","74,447","74,814","71,632","57,259","31,493","20,885","13,145","8,204","5,128"
Total Debt,"47,800","44,460","44,024","44,685","37,790","24,630","17,000","12,793","6,651","4,290","2,574"
Net Cash (Debt),"-34,676","-36,592","-36,669","-36,077","-27,822","-8,371","-11,189","-10,631","-4,778","-2,479","-1,649"
Net Cash Per Share,-176.36,-198.45,-199.81,-197.08,-153.19,-53.42,-81.15,-85.89,-48.72,-66.31,-60.52
Filing Date Shares Outstanding,187.61,194.4,194.4,190.55,186.9,186.9,146.86,125.23,117.66,95,27.25
Total Common Shares Outstanding,187.61,194.4,190.55,190.55,186.9,186.9,146.86,125.23,117.66,95,27.25
Working Capital,"8,955","2,535","2,678","1,348",998.63,"10,675","3,085",-470.48,30.96,731.09,261.65
Book Value Per Share,130.06,115.53,99.15,120.81,130.95,136.79,70.09,44.09,38.04,31.44,-12.50
Tangible Book Value,"18,745","16,069","12,296","14,874","15,480","21,506","7,246","2,531","2,530","1,526","-1,710"
Tangible Book Value Per Share,99.91,82.66,64.53,78.06,82.82,115.07,49.34,20.21,21.50,16.06,-62.74
Land,-,868.82,850.24,"3,302","1,553",808.65,855.31,-,-,-,-
Buildings,-,"16,126","15,140","13,848","12,178","9,553","5,964","4,382",205.32,366.56,421.5
Machinery,-,"25,046","21,594","19,777","17,853","10,795","5,634","4,275","2,049","1,357",913.1
Construction In Progress,-,"6,564","8,658","10,828","7,234","5,259","3,200","2,632","1,952",697.39,404.52
Leasehold Improvements,-,"9,103","8,706","8,444","8,231","7,307","6,112","4,240","2,244","1,203",554.45
